brand,name,link,image_url,price_discounted
피지오겔,[한정기획] 피지오겔 DMT 페이셜 수분크림 100ml 2입 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222215&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=15,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022221521ko.jpg?l=ko,"55,000"
피지오겔,[토너 200ml 본품증정] 피지오겔 DMT 리제너러티브 수분크림 100ml 한정기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222211&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=16,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022221107ko.jpg?l=ko,"61,500"
오드로이,[화해1위/모공크림] 오드로이 블랙체리 모공수축크림 로프디 100ml 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213288&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=17,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021328807ko.png?l=ko,"56,000"
제로이드,[5월 올영PICK/올영단독] 제로이드 인텐시브 크림 80ml 기획 (+크림 클렌저 25ml+데일리 선크림 10ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224335&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022433507ko.jpg?l=ko,"32,000"
아벤느,[올영픽 한정기획]아벤느 시칼파트 플러스 S.O.S 크림 100ml 2입 기획 (+ 수딩인핸싱 마사저),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224841&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=19,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022484125ko.jpg?l=ko,"45,000"
메디큐브,[PDRN원액캡슐/고농축수분광/ NEW]메디큐브 PDRN 핑크 콜라겐 캡슐크림 55g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223952&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=20,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022395201ko.jpg?l=ko,"33,300"
에스트라,[올영 어워즈 1등 크림]에스트라 아토베리어365 크림 80ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198320&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=21,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019832004ko.jpg?l=ko,"33,000"
에스트라,[1등크림] 에스트라 아토베리어365 크림 80ML 더블기획 (+세라히알 앰플 7ML+에이시카 세럼 3ML),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217327&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=22,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021732705ko.jpg?l=ko,"59,400"
에스네이처,[화해1위/모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 기획 (60ml+30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000156230&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=23,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0015/A00000015623086ko.jpg?l=ko,"24,000"
닥터엘시아,[글로벌1등크림] 닥터엘시아 345 릴리프 크림 50ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000215423&dispCatNo=1000001000100150001&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=24,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021542306ko.jpg?l=ko,"29,000"
