brand,name,link,image_url,price_discounted
이니스프리,[1+1] 이니스프리 비타민C 7일 톤업 세럼 30+30ml 한정기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214171&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=14,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021417111ko.jpg?l=ko,"38,000"
코스알엑스,코스알엑스 더 비타민C 23 미백톤업 세럼 20g (단품/기획),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204072&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=15,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020407230ko.jpg?l=ko,"23,000"
프리메라,[5월올영픽/1+1] 프리메라 비타티놀 세럼 15g기획/단품,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204365&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=16,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020436545ko.jpg?l=ko,"36,500"
브이앤에이뷰티,[리뉴얼/단독] 브이앤에이뷰티 안티옥시던트 래디언스 앰플 50ml 리필 기획세트 (+50ml 리필팩),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224124&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=17,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022412424ko.jpg?l=ko,"49,000"
차앤박,[유리알속광/화잘먹앰플] 차앤박 프로폴리스 에너지 액티브 앰플 30ml 2개입,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225602&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=18,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022560211ko.jpg?l=ko,"48,000"
리쥬란,[수량한정]리쥬란 힐러 턴오버 앰플 듀얼 이펙트 30ml 기획(+앰플 7ml+더마힐러크림10g+더마힐러마스크2매),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203803&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=19,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020380322ko.jpg?l=ko,"59,000"
라운드랩,[1+1+스티커] 라운드랩 소나무 진정 시카 앰플 30ml 더블 기획 (+누누씨스티커모음),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226490&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=20,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022649004ko.jpg?l=ko,"43,000"
파넬,[1+1더블기획] 파넬 시카마누 92세럼 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189713&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=21,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018971314ko.jpg?l=ko,"52,000"
퍼셀,[장벽강화원액] 퍼셀 20억/mL 픽셀바이옴 원액 20ml 기획 (+7ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208860&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=22,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020886012ko.jpg?l=ko,"28,000"
필킨,[조효진 소개 약손명가 1위 모공세럼] 필킨 포어솔루션 래디언스 세럼 30ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216734&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=23,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0021/A00000021673405ko.jpg?l=ko,"48,000"
VT,[모공에센스] VT 리들샷 100 에센스 50ml (+리들샷 300 1ml*3ea기획 / 단품),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183731&dispCatNo=1000001000100140001&t_page=카테고리관&t_click=에센스/세럼/앰플_전체__상품상세&t_number=24,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018373131ko.jpg?l=ko,"32,000"
